menu_id,name,cat,scope,age,layer,purpose,channels,coaching,vfe_target,time,desc,fep,steps,coaching_points
team_tech_005,1v1ドリブル突破,tech,team,all,L3,強化,"視覚,体性感覚",challenge,high,15,対面DF相手にドリブルで突破する。フェイントと方向転換の技術。,相手の予測を上回る動きを生成し高VFE環境下での意思決定速度を鍛える。,攻撃と守備を交互に;3本ずつで交代;成功したフェイントを共有;条件を追加していく,相手の重心を見る;緩急をつける;失敗を恐れずチャレンジする
team_tech_006,ヘディング練習,tech,team,all,L2,修正,"視覚,前庭覚",safe,mid,12,クロスボールへのヘディング。タイミングと方向を意識する。,空中でのボール軌道予測と前庭覚の統合。予測精度を段階的に修正する。,最初は手投げから;徐々にキックでのクロスに;方向を指定して打つ;ジャンプのタイミングを練習,ボールをよく見る;首を振る方向を意識;安全なフォームで行う
team_tech_007,インステップキック,tech,team,all,L2,修正,"体性感覚,視覚",positive,mid,15,正確なインステップでの中長距離パス・シュート練習。,キック動作の体性感覚モデルを精緻化し再現性の高い動作パターンを定着させる。,短距離から始める;正しいフォームを確認;徐々に距離を伸ばす;ターゲットを設定して蹴る,足首を固定する;ボールの中心を捉える;フォロースルーを大きく
team_tech_008,ターン練習（クライフ・マシュー）,tech,team,all,L2,探索,"体性感覚,視覚",explore,mid,12,各種ターンを反復練習。次の動きへの素早い転換を身につける。,複数の運動パターンを探索的に試行し状況に応じた最適解の選択肢を広げる。,クライフターンの反復;マシューズフェイントの反復;組み合わせて連続実施;対人で使ってみる,重心移動を大きく;相手を見ながら行う;スムーズに次の動作へ
team_tact_001,ポジショニング確認,tactic,team,all,L3,修正,"視覚,体性感覚",explore,mid,20,攻守それぞれのポジショニングを確認・修正するシャドートレーニング。,空間配置の内部モデルを修正し適切なポジショニングでVFEを低減する。,攻撃時のポジション確認;守備時のポジション確認;移動のタイミングを練習;声を出して連携する,自分のポジションの意味を理解する;周囲との距離感を保つ;常にボールと相手を見る
team_tact_002,3対3ゲーム,tactic,team,all,L3,統合,"視覚,体性感覚",challenge,mid,15,小さいコートで条件を1つ変えて行う。判断の速さと実行を統合する。,制約条件下での意思決定を通じ限られた時間と空間で最適解を探索・実行する。,コートサイズを設定;3タッチ制限など条件を追加;攻守の切り替えを意識;勝敗を記録する,素早い判断を心がける;オフザボールの動きを意識;声を出す
team_tact_003,4対2ロンド,tactic,team,all,L3,探索,"視覚,体性感覚",explore,mid,20,パスコースを予測するポゼッション練習の定番。,パスコースの予測と選択を繰り返しEFE epistemicを活用した能動的情報収集を訓練する。,4人が外で2人が中;ボールを奪われたら交代;パス回数を記録;タッチ制限を変える,顔を上げてパスコースを探す;体の向きでフェイク;ボールスピードを上げる
team_tact_004,ビルドアップ練習,tactic,team,all,L3,統合,"視覚,体性感覚",explore,mid,20,後方からのボール前進。パスコースの作り方を学ぶ。,チーム全体の予測モデルを統合しビルドアップという複合課題でのVFEを管理する。,GKからのビルドアップ;DFラインでのパス回し;相手プレスへの対応;前線への縦パスを入れる,常にパスコースを2つ以上作る;プレスの方向を見る;安全第一と挑戦のバランス
team_tact_005,プレッシング練習,tactic,team,all,L3,強化,"視覚,体性感覚",challenge,high,15,ボールを奪いに行くタイミングとコースを全体で合わせる。,集団での予測同期を訓練し高強度環境下での組織的行動のVFEを管理する。,トリガーとなる場面を設定;全員で連動してプレス;奪取後の素早い攻撃;成功回数を記録,タイミングを合わせる;コースを限定してから奪う;全力で走る
team_tact_006,ポジション鬼,tactic,team,all,L2,探索,"視覚,体性感覚",safe,mid,15,「ゴールの前を守る人」など役割を言語化。空間認知の訓練。,役割の言語化により内部モデルを明示化し空間的な予測精度を高める。,各自の役割を発表;役割に基づいて動く;鬼に捕まらないよう逃げる;役割を交代する,自分の役割を言葉にする;味方との位置関係を意識;楽しみながら学ぶ
team_tact_007,セットプレー確認,tactic,team,all,L3,修正,"視覚,体性感覚",positive,mid,15,コーナー・フリーキックの動きを確認。役割分担を共有する。,セットプレーのパターンを内部モデルとして定着させ実行時のVFEを低減する。,コーナーキックのパターンを確認;フリーキックの壁と動きを練習;各自の役割を明確化;実際に蹴って確認,役割を覚える;タイミングを合わせる;声で合図を出す
team_tact_008,縦パスのタイミング練習,tactic,team,all,L3,強化,"視覚,体性感覚",explore,mid,15,「いつ・どこへ」縦パスを入れるかタイミングを反復練習する。,時間的予測の精度を高め縦パスという高リスク行動のVFEを適正範囲に管理する。,受け手が動き出すタイミングを見る;パスを出す瞬間を練習;成功・失敗を振り返る;スピードを上げる,受け手の動き出しをよく見る;パスの強さを調整する;失敗しても挑戦し続ける
team_phys_001,スプリント練習,phys,team,all,L2,強化,"体性感覚,呼吸・心拍",challenge,mid,15,短距離ダッシュを繰り返す。最大加速から減速までのコントロール。,最大出力時の身体予測モデルを更新し高負荷での体性感覚精度を鍛える。,10m-20m-30mのダッシュ;インターバルを設定;フォームを意識;タイムを計測,爆発的なスタートを意識;腕振りを大きく;減速もコントロールする
team_phys_002,アジリティラダー,phys,team,all,L1,安定化,"体性感覚,前庭覚",positive,low,12,ラダーを使ったステップワーク。足の速さと正確さを鍛える。,リズミカルな反復運動で体性感覚の予測精度を安定化させる。,基本ステップから開始;徐々にパターンを変える;速度を上げる;正確さ重視で行う,足を高く上げる;リズムを一定に;正確さが先でスピードは後
team_phys_003,予測ダッシュ,phys,team,all,L2,探索,"体性感覚,呼吸・心拍",explore,mid,10,何秒で行けるか予測→実走→誤差確認。自己認知精度を上げる。,自己の身体能力に対する予測と実測の誤差を確認し内部モデルの精度を向上させる。,距離を設定;走る前にタイムを予測して宣言;実際に走りタイム計測;予測と実測の差を確認,正直に予測する;毎回振り返る;予測精度の向上を楽しむ
team_phys_004,コアトレーニング,phys,team,all,L1,安定化,"体性感覚,呼吸・心拍",safe,low,10,プランク・体幹系種目。軸の安定性を高める。,体幹の体性感覚を強化し動作の基盤となる予測精度を安定化させる。,プランク30秒×3;サイドプランク各20秒;バードドッグ;デッドバグ,呼吸を止めない;腰が反らないよう注意;お腹に力を入れ続ける
team_phys_005,ジャンプ力強化,phys,team,all,L2,強化,"体性感覚,前庭覚",challenge,mid,10,ボックスジャンプ・連続ジャンプ。ヘディングや競り合いに活きる。,跳躍時の前庭覚と体性感覚の統合を強化し空中での予測精度を高める。,両足ジャンプ→片足ジャンプ;高さを変える;連続ジャンプ;着地を安定させる,膝を柔らかく使う;着地時の衝撃を吸収;高さより正確さを重視
team_phys_006,インターバルランニング,phys,team,all,L3,強化,"体性感覚,呼吸・心拍",challenge,high,15,高強度と低強度を交互に繰り返す。試合体力を養う。,高強度での呼吸・心拍の自己モニタリング能力を鍛え内受容感覚の精度を向上させる。,30秒ダッシュ+30秒ジョグを繰り返す;8-10セット;心拍数を意識;フォーム維持,自分のペースを管理する;呼吸を意識する;最後まで全力を出す
team_cool_001,スタティックストレッチ,cool,team,all,L1,安定化,"体性感覚,呼吸・心拍",safe,low,10,静的ストレッチ。主要筋群をゆっくり伸ばす。,深い呼吸と共に筋肉をリラックスさせセロトニン系を再活性化しσを安定させる。,大きな筋群から順に;各部位20秒キープ;深呼吸と合わせる;リラックスする,痛みの手前で止める;呼吸を深くゆっくり;会話しながらリラックス
team_cool_002,振り返りシェア,cool,team,all,L1,安定化,"視覚,体性感覚",safe,low,10,「今日一番驚いたこと」をチームでシェア。FEP的学習の定着。,学習内容を言語化・共有することで内部モデルの更新を意識レベルで定着させる。,円になって座る;一人ずつ今日の発見をシェア;他者の発見から学ぶ;次回の目標を共有,ポジティブな発見を中心に;人の話をよく聞く;次回への期待を持つ
team_cool_003,クールダウンジョグ,cool,team,all,L1,安定化,"体性感覚,呼吸・心拍",safe,low,8,軽いジョグで体を冷ます。心拍数を段階的に下げる。,単調なリズム運動でセロトニン系を再活性化し練習後のσを安定させる。,ゆっくりしたペースでジョグ;徐々にスピードを落とす;最後はウォーキング;深呼吸を入れる,呼吸を整える;ゆっくりとしたリズムで;リラックスした状態を作る
team_cool_004,次回テーマ確認,cool,team,all,L1,探索,"視覚,体性感覚",safe,low,5,次回の練習テーマを共有。予測を立てておく。,次回の予測を形成することでドーパミン系のプライミング効果を生みF'をポジティブに着地させる。,次回の練習テーマを発表;各自の目標を確認;質問があれば共有;期待感を持って終了,前向きな言葉で締める;具体的な目標を設定する;楽しみにする気持ちを大切に
gk_tech_001,意思決定前宣言シュートストップ,tech,gk,all,L2,修正,"視覚,前庭覚",explore,mid,20,シュートを受ける前に「どこへ来るか」を声に出して宣言し予測精度を可視化する。,予測を言語化することで内部モデルを明示化しVFEを低減する。,シューターが準備;GKが予測方向を宣言;シュートを受ける;予測と結果を比較,予測の根拠を意識する;外れても次の予測を修正;パターンを見つける
gk_tech_002,クロス着地点予測,tech,gk,all,L3,探索,"視覚,前庭覚",explore,mid,15,クロスボールが上がった瞬間に着地点を宣言し落下予測の精度を高める。,ボール軌道の物理モデルを探索的に更新し前庭覚と視覚の統合精度を向上させる。,サイドからクロスを上げる;GKが着地点を宣言;実際にキャッチまたはパンチ;予測精度を記録,ボールの回転を見る;風の影響を考慮;早めにポジションを取る
gk_tact_001,PK期待値判断練習,tactic,gk,all,L3,探索,"視覚,体性感覚",explore,mid,20,キッカーの助走・目線・体の向きから傾向データを収集し飛ぶ方向を論理的に判断する。,相手の行動パターンからベイズ的に確率を推定しEFEを最小化する意思決定を訓練する。,キッカーの特徴を観察;データを記録;パターンを分析;判断に基づいて飛ぶ,観察ポイントを決めておく;データを蓄積する;論理的に判断する
gk_tech_003,ハイボール処理,tech,gk,all,L2,修正,"視覚,前庭覚",safe,mid,15,クロスボールへの飛び出しタイミングとキャッチング精度を磨く。,空中でのボール軌道予測と前庭覚の統合を段階的に修正する。,低いクロスから始める;徐々に高さを上げる;タイミングを合わせてキャッチ;パンチングも練習,最高点でキャッチ;声を出して飛び出す;安全なフォームで着地
gk_tech_004,1v1シュートストップ,tech,gk,all,L3,強化,"視覚,体性感覚",challenge,high,15,至近距離からの1対1場面での反応と身体の使い方を練習する。,高VFE環境下での瞬間的意思決定を鍛え反応速度と身体制御の限界を押し広げる。,1v1場面を設定;GKが前に出るタイミングを練習;様々な角度から;連続して行う,体を大きく見せる;足で止める技術も;恐怖心をコントロール
gk_tact_002,コーチング練習,tactic,gk,all,L3,統合,"視覚,体性感覚",positive,mid,15,DFへの的確な声かけ。情報発信役としてのGKの機能を高める。,フィールド全体の状況を予測し言語化することで認知的負荷を分散し全体のVFEを低減する。,ミニゲーム中にDFへ指示;的確な情報を簡潔に伝える;DFのリアクションを確認;振り返り,具体的な指示を出す;声の大きさとタイミング;ポジティブな声かけも忘れない
gk_tech_005,ディストリビューション,tech,gk,all,L2,修正,"視覚,体性感覚",positive,mid,15,素早い展開を意識したスロー・キックによる配球練習。,攻撃の起点としての予測モデルを修正し配球精度のVFEを低減する。,スローイング練習;ロングキック練習;ターゲットへの正確な配球;素早いリスタート,正確さを最優先;状況判断を早くする;安全と攻撃のバランス
gk_tact_003,ポジショニング（角度最小化）,tactic,gk,all,L3,修正,"視覚,前庭覚",explore,mid,15,シューターの角度を消すポジション取り。期待自由エネルギーを最小化する動き。,シューターに対する最適ポジションを数学的に理解しEFEを最小化する守備位置を学ぶ。,シューターの位置に応じてポジション調整;角度を意識;ステップワークで素早く移動;確認して修正,常にボールとゴールの関係を意識;半歩の調整を怠らない;準備姿勢を保つ
df_tech_001,ステップワーク（バックペダル）,tech,df,all,L1,安定化,"体性感覚,前庭覚",safe,low,15,相手に対して後退しながら身体の向きを保つステップ練習。,後退時の体性感覚・前庭覚の予測モデルを安定化させ基本動作のVFEを低減する。,基本バックペダル;サイドステップとの組み合わせ;方向転換の練習;スピードアップ,重心を低く保つ;相手から目を離さない;足を交差させない
df_tech_002,1v1ディフェンス,tech,df,all,L3,強化,"視覚,体性感覚",challenge,mid,15,コースを切りながら相手の選択肢を制限する守備。,相手の意図予測を高速で行い選択肢を限定することでEFEを操作的に低減する訓練。,攻撃側と守備側を設定;間合いの取り方を練習;コースの切り方;ボール奪取まで,間合いを詰めすぎない;重心を落とす;相手の腰を見る
df_tact_001,カバーリングポジション,tactic,df,all,L3,修正,"視覚,体性感覚",explore,mid,20,DFラインのカバーシャドウと連動する動きを反復する。,チーム全体の守備モデルを修正しDFライン全体でのVFEを低減する。,DFラインの距離感を確認;カバーの動きを練習;連動して動く;ボールの位置に応じて調整,味方との距離を一定に;声を掛け合う;ボールと相手を同時に見る
df_tact_002,ラインコントロール,tactic,df,all,L3,統合,"視覚,体性感覚",explore,mid,15,組織的なオフサイドトラップとDFラインの押し上げを練習する。,DFライン全体の予測を同期させ組織的な行動による集団VFEの低減を実現する。,ラインの上げ下げを練習;声で合図;相手の動きに合わせる;オフサイドトラップ,全員のタイミングを合わせる;声を出す;相手の動き出しを見逃さない
df_tact_003,インターセプト練習,tactic,df,all,L3,探索,"視覚,体性感覚",challenge,mid,15,パスコースを予測して先読みカット。予測精度を高める。,パスコース予測によるEFE epistemic活用。能動推論による先読みカット訓練。,パスが出る瞬間を予測;飛び出しのタイミングを練習;成功率を記録;様々な角度から,相手のパサーの体の向きを見る;思い切って飛び出す;失敗時のリカバリーも意識
df_tact_004,ビルドアップ参加,tactic,df,all,L3,統合,"視覚,体性感覚",explore,mid,20,GKとの連携を含めた後方からのパス回し練習。,守備からの攻撃切り替え時の複合予測モデルを統合し安全な前進のVFEを管理する。,GKからのパスを受ける;プレスに対して適切な判断;縦パスのタイミング;逆サイドへの展開,パスコースを常に2つ作る;判断を早くする;安全と挑戦のバランス
df_phys_001,ヘディング競り合い,phys,df,all,L2,強化,"体性感覚,前庭覚",challenge,mid,15,クロスボールへの競り合いでポジション取りと跳ぶタイミングを練習する。,空中戦での前庭覚と体性感覚の統合を強化し競り合いでの予測精度を高める。,クロスに対してポジション取り;相手と競り合ってヘディング;タイミング練習;フォーム確認,先にポジションを取る;体を当てる;最高点でヘディング
df_tech_003,クリアリング精度,tech,df,all,L2,修正,"体性感覚,視覚",positive,mid,15,危険なエリアから安全にボールをクリアするキックの練習。,緊急時のキック精度を修正しピンチ場面でのVFEを低減する。,様々な角度からのクリア;高さと距離を意識;利き足と逆足;プレッシャー下でも実施,安全な方向を選ぶ;強く蹴る;迷わず決断する
mf_tact_001,ボールリテンション（ロンド）,tactic,mf,all,L3,安定化,"視覚,体性感覚",explore,mid,20,ポゼッションを維持しながらパスコースを作り続ける練習。,ポゼッション時の予測モデルを安定化させ中盤でのVFEを適正帯域に維持する。,5対3のロンド;タッチ制限を変える;パス回数を記録;プレス強度を上げる,顔を上げて周囲を確認;ボディシェイプを意識;パスの質を高める
mf_tech_001,ターンとリリース,tech,mf,all,L3,修正,"体性感覚,視覚",explore,mid,15,プレッシャーを受けながら素早くターンして展開する技術。,プレッシャー下での身体制御と視覚処理を修正し中盤での意思決定VFEを低減する。,背負った状態からターン;素早く展開パス;様々な方向;プレッシャー強度を上げる,ボールを受ける前に周囲を確認;ファーストタッチで逃げる;体を使って守る
mf_tact_002,プレッシング誘導,tactic,mf,all,L3,統合,"視覚,体性感覚,呼吸・心拍",explore,high,20,ボールを持ちながら相手を誘導しプレッシングのスイッチを入れる。,複数変数の同時処理。高complexity下での適応的行動選択を訓練する。,ボールを持って相手を誘う;味方と連動してプレス;奪取後の素早い攻撃;パターンを変える,周囲の状況を常に把握;タイミングを合わせる;声で合図を出す
mf_tact_003,縦パスの差し込み,tactic,mf,all,L3,強化,"視覚,体性感覚",positive,mid,15,「いつ・どこへ」縦パスを入れるかタイミングの練習。,時間的予測の精度を高め高リスクな縦パスのVFEを適正範囲に管理する。,受け手の動き出しを見る;パスの強さとタイミング;成功率を記録;プレッシャー追加,相手のギャップを見る;受け手とのタイミングを合わせる;失敗しても挑戦する
mf_tech_002,デュエル（1v1中盤）,tech,mf,all,L3,強化,"体性感覚,視覚",challenge,high,15,インターセプトと球際の強さ。予測とフィジカルを融合する。,予測精度と身体的強度を同時に発揮する高VFE環境下でのパフォーマンスを鍛える。,1v1で球際の争い;インターセプト練習;セカンドボールの回収;連続場面,予測して先に動く;体を当てる;あきらめない
mf_tact_004,展開パス（サイドチェンジ）,tactic,mf,all,L3,探索,"視覚,体性感覚",explore,mid,15,逆サイドへの素早い展開でフィールドを広く使う。,フィールド全体の空間予測モデルを探索的に更新し視野の広さを鍛える。,逆サイドの味方を確認;ロングパスで展開;ワンタッチでの展開;動きながら,常に逆サイドを意識する;パスの質にこだわる;体の向きを工夫する
mf_tact_005,セカンドボール回収,tactic,mf,all,L2,強化,"体性感覚,視覚",challenge,mid,15,こぼれ球への素早い予測反応と回収能力を高める。,ボール軌道の不確実な予測に対する反応速度を鍛えEFE環境下での能動的行動を促進する。,ヘディングのこぼれ球を回収;素早い反応;ポジションの予測;連続して行う,落下点を予測する;先にポジションを取る;体を当てて確保する
mf_tact_006,ゲームリード練習,tactic,mf,all,L4,統合,"視覚,体性感覚,呼吸・心拍",positive,high,20,試合のテンポをコントロールする意識を持ったボール保持練習。,試合全体の時間的・空間的予測モデルを統合しゲームコントロールという高次課題のVFEを管理する。,リードしている場面設定;テンポを上げ下げ;相手を走らせる;時間管理,状況に応じたテンポ選択;落ち着きを保つ;味方への指示を出す
fw_tact_001,抜け出しタイミング,tactic,fw,all,L3,強化,"視覚,体性感覚",positive,mid,15,DFの背後への抜け出し。オフサイドギリギリのタイミングを反復する。,時間予測の精緻化。F'維持によるリスク行動の促進を訓練する。,DFラインを確認;動き出しのタイミングを練習;パサーとの連携;成功率を記録,DFラインを常に見る;緩急をつける;諦めずに繰り返す
fw_tech_001,シュート前の1タッチ,tech,fw,all,L3,修正,"体性感覚,視覚",positive,mid,15,ゴール前での素早いシュート準備とコース選択を練習する。,ゴール前での瞬間的な意思決定モデルを修正しシュートまでのVFEを低減する。,パスを受けてワンタッチでシュート;様々な角度;GKの位置を確認;スピードアップ,ファーストタッチでシュートコースを作る;GKの位置を見る;素早く判断
fw_tech_002,ポストプレー,tech,fw,all,L2,修正,"体性感覚,視覚",safe,mid,15,身体を当ててキープしながらの落としのタイミングと強さ。,ボールキープ時の体性感覚モデルを修正し落としの精度VFEを低減する。,背負った状態でボールを受ける;体を使ってキープ;落としのパス;ターンして前を向く,体を当てて相手を抑える;ファーストタッチの方向;味方の動きを感じる
fw_tact_002,クロスへの入り方,tactic,fw,all,L3,探索,"視覚,体性感覚",explore,mid,15,ファー・ニアへの動き出しと入り方のパターン練習。,クロスボールの軌道予測と走り込み経路の探索を通じ得点パターンの選択肢を広げる。,ニアへの動き;ファーへの回り込み;マイナスへの入り方;タイミング練習,DFの死角から動く;加速して入る;コースに入り込む
fw_tech_003,1v1突破（FW版）,tech,fw,all,L3,強化,"視覚,体性感覚",challenge,high,15,正面・サイドからのドリブル突破。シュートまで一連の動き。,高VFE環境下でのドリブル→シュート連続動作の予測モデルを鍛え限界を広げる。,DFとの1v1;突破からシュートまで;様々な角度;フェイントの種類を増やす,相手の重心を見る;シュートまで一連の動きで;成功を恐れない
fw_tact_003,プレッシングスイッチ,tactic,fw,all,L3,統合,"視覚,体性感覚",challenge,mid,15,前線からの守備。プレッシングのスイッチ役としての動き。,前線からの守備予測モデルを統合し攻守切り替えの複合VFEを管理する。,相手のビルドアップに対してプレス;コースを切る;味方と連動;奪取後の攻撃,プレスのタイミングを見極める;コースを限定;最後まで追う
fw_tech_004,フリーランニング,tech,fw,all,L3,探索,"視覚,体性感覚",explore,mid,15,スペースを作る動き。味方のための走り。,オフザボールの空間予測モデルを探索的に更新しスペースメイクの選択肢を広げる。,DFの視界から消える動き;スペースへの走り込み;囮の動き;タイミング変化,DFの死角を利用する;走りの緩急をつける;味方と連動する
fw_tact_004,コンビネーション崩し,tactic,fw,all,L4,統合,"視覚,体性感覚",explore,high,20,2-3人の連動でDFラインを崩す。ワンツーや3人目の動き。,複数選手の予測モデルを同期させコンビネーションという高次統合課題のVFEを管理する。,ワンツーの練習;3人目の動き;DFの裏を取る;パターンを増やす,味方の動きを感じる;パスの質と速度;自分が囮になることも受け入れる
